City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Salalah,75,OM,1587428127,74,17.02,54.09,82.4,5.82
Smithers,20,CA,1587428127,27,54.78,-127.17,64.4,21.92
Namikupa,59,TZ,1587428127,90,-10.83,39.6,68.47,2.93
Abonnema,48,NG,1587428127,85,4.71,6.79,79.34,3.58
Maricá,20,BR,1587428127,78,-22.92,-42.82,73.4,10.29
Laizhou,49,CN,1587428128,47,37.18,119.93,47.1,21.9
Tuktoyaktuk,90,CA,1587428128,84,69.45,-133.04,8.6,9.17
Vila Velha,66,BR,1587428128,78,-20.33,-40.29,75.2,8.05
Bay Roberts,45,CA,1587428128,31,47.6,-53.26,37.0,3.0
Bizhbulyak,100,RU,1587428128,79,53.7,54.26,44.24,12.15
Ust-Nera,87,RU,1587428128,81,64.57,143.2,13.17,2.28
Mana,100,GF,1587428128,89,5.66,-53.78,77.09,6.29
Ucluelet,75,CA,1587427950,66,48.93,-125.55,55.0,8.05
Ahipara,100,NZ,1587428129,90,-35.17,173.17,64.02,2.89
Sedlčany,0,CZ,1587428129,54,49.66,14.43,44.01,4.0
Pokhara,100,NP,1587427929,36,28.23,83.98,62.2,3.22
Burē,94,ET,1587428129,17,10.7,37.07,61.95,4.68
Inhambane,1,MZ,1587428129,82,-23.86,35.38,73.35,5.57
Tuyan,3,PH,1587428129,59,6.0,125.28,85.84,3.83
Port Macquarie,1,AU,1587427843,74,-31.43,152.92,64.99,1.16
Saint George,1,US,1587428003,25,37.1,-113.58,75.0,6.93
San Luis de la Paz,5,MX,1587428130,21,21.3,-100.52,89.01,10.29
Semey,0,KZ,1587428130,80,50.41,80.23,33.8,7.92
Toktogul,0,KG,1587428130,29,41.87,72.94,53.85,5.12
Socorro,40,US,1587428130,10,31.65,-106.3,82.4,18.34
Anuchino,100,RU,1587428130,83,43.96,133.05,32.85,8.9
Fairbanks,90,US,1587428015,87,64.84,-147.72,44.01,4.7
Bathsheba,75,BB,1587428131,88,13.22,-59.52,77.0,18.34
Bagdarin,2,RU,1587428131,69,54.43,113.6,19.56,8.77
Dunedin,92,NZ,1587428131,62,-45.87,170.5,59.0,10.0
Pabradė,62,LT,1587428131,69,55.0,25.78,39.99,4.7
Caniço,20,PT,1587428131,55,32.63,-16.85,62.6,5.82
Nyimba,90,ZM,1587428131,57,-14.56,30.81,64.47,3.4
Hilo,1,US,1587428132,54,19.73,-155.09,82.4,18.34
Tiksi,95,RU,1587428132,95,71.69,128.87,22.75,2.86
Hong Kong,20,HK,1587428114,74,22.29,114.16,81.0,4.7
Sīrjān,99,IR,1587428132,40,29.45,55.68,60.91,6.38
Qasigiannguit,26,GL,1587428132,58,68.82,-51.19,28.4,4.7
Anadyr,9,RU,1587428133,78,64.75,177.48,14.0,6.71
Torbay,75,CA,1587428133,74,47.67,-52.73,39.0,17.22
Porto Velho,40,BR,1587428133,94,-8.76,-63.9,78.8,3.36
Vagay,100,RU,1587428133,91,57.94,69.02,40.57,6.6
Tsumeb,0,NA,1587428133,32,-19.23,17.72,62.08,7.43
Las Tunas,75,CU,1587428133,45,20.96,-76.95,87.8,13.87
Pangnirtung,100,CA,1587428134,93,66.15,-65.71,19.04,2.39
Tayu,74,ID,1587428134,79,-6.54,111.05,81.28,5.26
Wittlich,1,DE,1587428134,39,49.98,6.88,50.0,20.8
Tuatapere,99,NZ,1587428134,73,-46.13,167.68,57.0,5.01
Astara,75,AZ,1587428134,100,38.5,48.67,53.6,4.27
Yarim,98,YE,1587428134,41,14.3,44.38,53.26,2.95
Amapá,100,BR,1587427986,94,1.0,-52.0,72.64,2.8
Katobu,25,ID,1587428135,73,-4.94,122.53,82.72,2.89
Bambari,90,CF,1587428135,79,5.77,20.68,73.18,3.87
Lavrentiya,88,RU,1587428135,91,65.58,-171.0,18.82,7.11
Saint-Pierre,75,RE,1587428135,68,-21.34,55.48,71.6,5.82
Koumra,46,TD,1587428135,48,8.91,17.55,81.03,4.43
Srednekolymsk,95,RU,1587428135,95,67.45,153.68,18.45,10.87
Paamiut,69,GL,1587428136,89,61.99,-49.67,27.54,7.0
Aktash,2,RU,1587427925,42,50.3,87.73,28.58,1.77
Ambilobe,85,MG,1587428136,81,-13.2,49.05,71.2,5.39
Nantucket,1,US,1587428136,77,41.28,-70.1,42.8,13.87
Gaza,1,PS,1587428136,74,31.5,34.47,59.0,5.3
Vršac,80,RS,1587428136,61,45.12,21.3,50.0,3.36
Gusau,73,NG,1587428136,39,12.16,6.66,82.45,6.08
Doha,75,QA,1587427853,69,25.29,51.53,80.01,2.24
Awjilah,0,LY,1587428137,17,29.11,21.29,77.76,15.48
Sur,41,OM,1587428137,46,22.57,59.53,84.54,5.39
Murupara,100,NZ,1587428137,77,-38.47,176.7,64.99,1.01
Najrān,90,SA,1587428138,100,17.49,44.13,62.6,9.17
São José da Coroa Grande,12,BR,1587428138,83,-8.9,-35.15,80.06,9.42
Baza,42,ES,1587428138,77,37.49,-2.77,46.0,11.99
College,90,US,1587428138,81,64.86,-147.8,44.01,0.56
Bintulu,75,MY,1587428138,94,3.17,113.03,75.2,2.24
Limbuhan,91,PH,1587428138,73,11.88,124.05,83.77,11.23
Arrecife,40,ES,1587428139,72,28.96,-13.55,66.2,11.41
Zuwārah,1,LY,1587428139,47,32.93,12.08,71.85,12.5
Rodrigues Alves,27,BR,1587428139,62,-7.74,-72.65,74.43,0.22
Charters Towers,25,AU,1587428139,58,-20.1,146.27,80.55,8.55
Carnarvon,75,AU,1587428139,60,-24.87,113.63,68.0,12.75
Kapoeta,33,SS,1587428139,47,4.77,33.59,78.98,2.33
Natalio,0,PY,1587428139,55,-26.72,-55.08,67.08,2.26
Faanui,95,PF,1587428140,78,-16.48,-151.75,81.82,17.65
Bucerías,5,MX,1587428140,73,20.75,-105.33,77.0,11.41
Ibrā’,82,OM,1587428140,30,22.69,58.53,81.43,0.96
Oranjestad,20,AW,1587428140,69,12.52,-70.03,82.4,23.04
Blairmore,1,CA,1587428140,31,49.6,-114.44,62.6,27.51
Kirensk,0,RU,1587428140,83,57.79,108.11,30.45,2.55
Belmonte,75,BR,1587428140,78,-15.86,-38.88,77.0,6.93
Kupino,83,RU,1587428141,67,54.37,77.3,52.7,10.16
Tuy Hoa,81,VN,1587427906,81,13.08,109.3,78.21,3.47
Manatí,16,PR,1587428141,82,18.43,-66.49,79.0,11.36
Faya,31,SA,1587428141,71,18.39,42.45,60.8,4.7
Santa Fe,0,AR,1587428141,67,-31.63,-60.7,75.0,1.01
Ngunguru,100,NZ,1587428141,99,-35.62,174.5,64.0,5.01
Hervey Bay,3,AU,1587428141,72,-25.3,152.85,79.0,7.0
Sainte-Maxime,20,FR,1587428142,93,43.3,6.63,57.2,3.36
Grindavik,90,IS,1587428142,100,63.84,-22.43,46.4,26.4
Barbacoas,85,CO,1587428142,86,1.67,-78.14,76.73,0.85
Korla,77,CN,1587428142,50,41.76,86.15,57.99,7.0
Ostrovnoy,96,RU,1587428142,97,68.05,39.51,31.24,19.17
Padang,35,ID,1587428142,72,-0.95,100.35,79.48,4.23
Arandis,86,NA,1587428143,89,-22.42,14.97,62.01,1.99
Zdvinsk,66,RU,1587428143,74,54.7,78.66,48.87,8.55
Victoria Point,20,AU,1587428143,47,-27.58,153.3,79.0,9.17
Aykhal,0,RU,1587428143,83,66.0,111.5,27.57,6.51
Lakes Entrance,30,AU,1587428143,57,-37.88,147.98,64.0,3.0
Rādhanpur,0,IN,1587428143,73,23.83,71.6,80.65,9.51
San Miguel de Tucumán,0,AR,1587428143,69,-26.82,-65.22,75.2,4.7
São João da Barra,1,BR,1587427921,86,-21.64,-41.05,70.65,8.95
Nichlaul,100,IN,1587428144,41,27.32,83.73,76.93,10.31
Poum,12,NC,1587428144,78,-20.23,164.02,78.3,13.69
Newport,22,GB,1587428144,78,51.59,-3.0,48.0,1.99
Daru,82,PG,1587428144,79,-9.08,143.21,82.94,9.78
Huilong,100,CN,1587428144,92,31.81,121.66,54.0,4.85
Saint-Augustin,83,CA,1587428144,98,51.23,-58.65,30.38,7.67
Puerto Colombia,90,CO,1587428144,78,10.99,-74.95,82.4,13.87
Épernay,55,FR,1587428145,50,49.05,3.95,55.0,10.29
Catió,0,GW,1587427986,69,11.28,-15.25,77.92,8.66
Berlevåg,97,NO,1587428145,81,70.86,29.09,36.23,23.91
Souillac,40,MU,1587428145,78,-20.52,57.52,77.0,17.22
Rocha,0,UY,1587428006,79,-34.48,-54.33,62.29,2.04
Batagay-Alyta,100,RU,1587428145,88,67.8,130.41,24.53,2.35
Constitución,42,CL,1587427927,56,-35.33,-72.42,60.82,9.71
Yaan,56,NG,1587428145,70,7.38,8.57,80.37,11.68
Bilimbay,90,RU,1587428146,100,56.97,59.81,39.2,4.47
Port Hedland,86,AU,1587428146,88,-20.32,118.57,80.6,5.82
Vao,18,NC,1587428146,80,-22.67,167.48,76.14,13.94
Kieta,60,PG,1587428146,67,-6.22,155.63,85.28,0.85
Margate,24,GB,1587428146,64,51.38,1.39,53.01,4.0
Bac Lieu,68,VN,1587428146,71,9.29,105.72,83.57,9.82
Ternuvate,0,UA,1587428146,72,47.83,36.13,37.81,7.67
Scottsbluff,20,US,1587428147,23,41.87,-103.67,64.4,14.99
Te Anau,91,NZ,1587428147,64,-45.42,167.72,52.88,3.56
Beyneu,57,KZ,1587428147,42,45.32,55.2,66.07,10.29
Mount Gambier,40,AU,1587428147,82,-37.83,140.77,55.4,12.75
Belyy Yar,24,RU,1587428147,51,53.6,91.39,32.0,2.55
Edd,100,ER,1587428148,57,13.93,41.69,85.46,7.63
Korem,91,ET,1587428148,39,12.51,39.52,54.1,1.25
Lucapa,100,AO,1587428148,74,-8.42,20.74,66.92,4.79
Rocky Mountain House,6,CA,1587428148,43,52.37,-114.92,60.08,3.47
Vila Franca do Campo,40,PT,1587428007,62,37.72,-25.43,59.0,9.17
Moundsville,1,US,1587428148,28,39.92,-80.74,55.99,10.29
Teahupoo,61,PF,1587428148,62,-17.83,-149.27,87.8,8.05
Guerrero Negro,82,MX,1587428149,66,27.98,-114.06,64.42,21.97
Dindori,58,IN,1587428149,22,22.95,81.08,75.61,3.65
Kruisfontein,96,ZA,1587428149,76,-34.0,24.73,61.18,10.56
Kropotkin,37,RU,1587428149,92,45.44,40.58,40.15,6.08
Cabedelo,20,BR,1587428149,88,-6.98,-34.83,78.8,5.82
Pochutla,75,MX,1587428149,62,15.74,-96.47,86.0,12.75
Oussouye,0,SN,1587428149,88,12.48,-16.55,75.2,4.7
Saint-François,92,FR,1587428149,87,46.42,3.91,55.4,4.7
Buta,3,CD,1587428149,84,2.79,24.73,69.69,0.16
Gallup,1,US,1587428150,16,35.53,-108.74,64.4,14.99
Matara,67,LK,1587428150,87,5.95,80.54,77.29,5.5
Ambon City,40,ID,1587428150,83,-3.7,128.18,82.4,4.7
Northam,89,GB,1587428150,74,51.03,-4.22,51.01,11.01
Aquiraz,20,BR,1587428150,74,-3.9,-38.39,82.4,2.24
Yurginskoye,95,RU,1587428150,92,56.82,67.39,42.08,5.12
Valleyview,64,CA,1587428150,57,55.07,-117.29,59.79,6.04
Meulaboh,58,ID,1587428151,83,4.14,96.13,79.21,4.5
Florianópolis,0,BR,1587427963,77,-27.61,-48.5,68.0,1.12
Kwekwe,0,ZW,1587428151,49,-18.93,29.81,53.08,5.68
Mnogovershinnyy,100,RU,1587428151,94,53.94,139.92,18.36,14.7
Ulagan,0,RU,1587428151,45,50.63,87.96,39.42,1.7
Copiapó,20,CL,1587428151,77,-27.37,-70.33,62.6,9.17
Lokosovo,100,RU,1587428152,76,61.13,74.82,40.35,6.44
Ekhabi,100,RU,1587428152,97,53.51,142.97,30.2,21.77
Thompson,40,CA,1587428152,41,55.74,-97.86,21.2,10.29
Kawalu,98,ID,1587428152,81,-7.38,108.21,76.59,0.74
Blagodarnyy,100,RU,1587428152,73,45.1,43.44,44.92,10.58
Agadez,0,NE,1587428152,11,19.75,10.25,84.07,8.79
Sakakah,87,SA,1587428152,52,29.97,40.21,69.8,4.7
Khani,100,GE,1587428152,87,41.96,42.96,55.4,12.75
Bengkulu,49,ID,1587428117,78,-3.8,102.27,78.85,4.47
Inawashiro,75,JP,1587428153,71,37.57,140.12,60.01,4.7
Boende,61,CD,1587428153,78,-0.22,20.87,71.96,1.34
Kikwit,99,CD,1587428153,79,-5.04,18.82,71.71,1.23
Dzilam González,16,MX,1587428153,82,21.28,-88.93,84.0,12.73
Clarence Town,92,AU,1587428153,55,-32.58,151.78,68.0,11.41
Nyurba,96,RU,1587428153,94,63.28,118.33,29.12,4.21
Douglas,40,US,1587428154,21,41.3,-96.17,69.8,18.34
Wajima,75,JP,1587428154,87,37.4,136.9,51.8,14.99
The Pas,1,CA,1587428154,49,53.83,-101.25,26.6,10.29
Qinzhou,39,CN,1587428154,84,21.95,108.62,77.54,5.88
High Level,75,CA,1587428154,52,58.52,-117.14,44.6,10.29
Sayyan,100,YE,1587428154,43,15.17,44.32,54.81,2.64
Hutchinson,20,US,1587427862,19,38.06,-97.93,75.2,17.22
Caconda,50,AO,1587428154,59,-13.73,15.07,58.42,3.67
Yangi Marg`ilon,2,UZ,1587428155,51,40.43,71.72,59.0,6.93
Waipawa,76,NZ,1587428155,55,-41.41,175.52,62.6,10.29
Batemans Bay,35,AU,1587428155,68,-35.72,150.18,69.01,1.01
Kaeo,100,NZ,1587428155,95,-35.1,173.78,64.0,1.01
Acapulco de Juárez,5,MX,1587428155,74,16.86,-99.89,82.4,6.93
San Marco in Lamis,75,IT,1587428155,87,41.71,15.64,55.99,5.82
Forsytheganj,9,BY,1587428155,85,52.63,29.73,34.16,7.23
Boyolangu,87,ID,1587428155,81,-8.12,111.89,79.5,2.28
Kalmunai,32,LK,1587428156,79,7.42,81.82,81.84,4.94
Teacapan,20,MX,1587428156,50,22.55,-105.75,80.26,10.36
Tautira,57,PF,1587428156,62,-17.73,-149.15,87.8,8.05
Nemuro,75,JP,1587428046,100,43.32,145.57,41.0,6.93
Otradnoye,75,RU,1587427869,80,59.78,30.82,41.0,6.71
Pachino,69,IT,1587428156,87,36.72,15.09,61.0,3.0
De Aar,60,ZA,1587428156,27,-30.65,24.01,67.28,1.36
Oranjemund,22,NA,1587428156,89,-28.55,16.43,60.42,8.16
Balaipungut,20,ID,1587428156,94,1.05,101.28,78.8,1.97
Satwās,32,IN,1587428157,25,22.53,76.68,80.38,4.23
Buraidah,75,SA,1587428157,100,26.33,43.98,64.4,14.99
Necochea,97,AR,1587428157,75,-38.55,-58.74,60.01,8.01
Sibolga,5,ID,1587428157,75,1.74,98.78,77.61,3.51
Borovskoy,36,KZ,1587428157,88,53.8,64.15,42.39,5.14
Eureka,20,US,1587428100,71,40.8,-124.16,57.0,10.29
Jinxiang,64,CN,1587428157,84,22.86,115.7,78.01,8.12
Khuzhir,0,RU,1587427927,84,53.19,107.34,25.23,3.18
Angoche,7,MZ,1587428157,90,-16.23,39.91,73.69,9.71
Puerto del Rosario,75,ES,1587428158,68,28.5,-13.86,68.0,14.99
Del Rio,1,US,1587428158,16,29.36,-100.9,96.8,5.82
Caloundra,26,AU,1587428158,56,-26.8,153.13,75.99,3.0
Piaçabuçu,53,BR,1587428158,79,-10.41,-36.43,79.18,8.7
Liwale,15,TZ,1587428158,81,-9.77,37.93,66.02,3.18
Gävle,0,SE,1587428017,81,60.67,17.14,42.49,4.97
Caravelas,20,BR,1587428158,80,-17.71,-39.25,75.79,12.66
Krasne,37,UA,1587428158,74,49.91,24.61,33.8,3.02
Emerald,2,AU,1587428158,25,-23.53,148.17,81.0,8.05
Bagotville,65,AU,1587427985,60,-28.98,153.42,73.99,3.36
Alexandria,100,EG,1587428159,77,31.22,29.96,62.6,4.7
Hays,1,US,1587428029,55,30.05,-98.03,86.0,10.29
Finschhafen,27,PG,1587428159,67,-6.6,147.87,84.87,9.06
West Bay,20,KY,1587428159,74,19.37,-81.42,86.0,9.17
Assiut,75,EG,1587428159,55,27.18,31.18,64.4,8.05
Havøysund,75,NO,1587428159,80,71.0,24.66,39.2,40.26
Sovetskiy,100,RU,1587428160,91,61.36,63.58,37.2,3.4
Bolkhov,0,RU,1587428160,83,53.44,36.0,33.85,12.28
Zaysan,0,KZ,1587428160,37,47.47,84.87,51.78,1.97
Tadine,61,NC,1587428160,81,-21.55,167.88,80.17,14.43
Ocampo,0,MX,1587428160,7,21.65,-101.5,81.45,7.96
Yamada,96,JP,1587428046,78,39.47,141.95,52.0,6.6
Kahului,40,US,1587428160,45,20.89,-156.47,84.2,6.93
Kismayo,100,SO,1587428160,83,-0.36,42.55,81.21,11.01
Ayagoz,0,KZ,1587428161,39,47.97,80.44,48.76,9.31
Ngorongoro,100,TZ,1587428161,59,-3.24,35.49,52.93,1.86
Gubskaya,96,RU,1587428161,75,44.32,40.64,41.86,2.55
Laohekou,99,CN,1587428161,73,32.39,111.67,55.38,7.34
Uglovoye,1,UA,1587428161,61,44.82,33.6,46.02,7.43
Ulaangom,63,MN,1587428162,44,49.98,92.07,40.53,1.54
North Bend,90,US,1587428162,76,43.41,-124.22,54.0,9.17
Redcar,0,GB,1587428162,93,54.62,-1.06,45.0,4.0
Xining,100,CN,1587428162,34,36.62,101.77,36.95,4.52
Jacareacanga,94,BR,1587428162,94,-6.22,-57.75,74.7,1.45
Metu,87,ET,1587428162,46,8.3,35.58,62.76,1.74
Cam Ranh,20,VN,1587428163,78,11.92,109.16,80.6,5.82
Ugoofaaru,98,MV,1587428163,68,5.67,73.0,85.82,5.88
Sørland,97,NO,1587428163,92,67.67,12.69,41.2,16.93
West Odessa,1,US,1587428164,9,31.84,-102.5,87.8,6.93
Ketchikan,90,US,1587428164,87,55.34,-131.65,46.4,16.11
Sulangan,99,PH,1587428164,74,11.14,123.72,83.68,8.32
Westminster,40,US,1587428049,25,39.84,-105.04,64.99,6.93
Jablonné nad Orlicí,0,CZ,1587428164,49,50.03,16.6,41.0,1.99
Bull Savanna,10,JM,1587428164,75,17.89,-77.59,75.72,8.12
Sambava,94,MG,1587428164,88,-14.27,50.17,72.36,8.59
Rio Grande,0,BR,1587428133,82,-32.03,-52.1,66.0,7.34
Antalaha,78,MG,1587428165,84,-14.9,50.28,74.71,11.99
Maningrida,3,AU,1587428165,75,-12.07,134.27,82.47,6.11
Manta,48,EC,1587428165,70,-0.95,-80.73,84.2,11.41
Praia,20,CV,1587428165,73,14.92,-23.51,71.6,17.22
Cabo San Lucas,5,MX,1587428049,34,22.89,-109.91,82.4,17.22
Kastamonu Province,100,TR,1587428034,59,41.5,33.67,46.96,0.94
Pudozh,20,RU,1587428165,97,61.81,36.53,30.58,2.24
Şeica Mică,18,RO,1587428166,56,46.05,24.13,45.0,13.87
Staunton,1,US,1587428166,62,38.15,-79.07,59.0,6.93
Taltal,4,CL,1587428166,75,-25.4,-70.48,62.11,3.69
Araouane,0,ML,1587428166,14,18.9,-3.53,79.61,8.77
Wahiawā,90,US,1587428166,73,21.5,-158.02,86.0,4.45
Celestún,36,MX,1587428166,75,20.87,-90.4,83.32,14.88
Alyangula,4,AU,1587428167,88,-13.85,136.42,80.6,6.08
Malanje,100,AO,1587428167,69,-9.54,16.34,65.07,1.48
Victor Harbor,22,AU,1587428167,69,-35.57,138.62,64.99,4.0
Rognan,99,NO,1587428167,98,67.1,15.39,41.0,2.86
Pringsewu,40,ID,1587428167,85,-5.36,104.97,77.04,1.21
Arrondissement d'Issoudun,90,FR,1587428167,100,47.0,1.83,53.6,4.7
Karasburg,60,NA,1587428167,24,-28.02,18.75,63.99,3.15
Egvekinot,27,RU,1587428167,89,66.32,-179.17,12.47,6.93
Rome,1,US,1587428107,48,43.21,-75.46,44.01,11.41
